id,english,japanese,romanji,type,category,format,level
1760,gift shop,ギフトショップ,gifuto shoppu,n,place,,K
1761,stuffed toy,ぬいぐるみ,nuigurumi,n,,,H
1762,collect/gather/assemble,集める,atsumeru,v,transitive,ichidan,N4
1763,warning/attention/caution,注意,chūi,n,,,N4
1764,pile up/stack,積む,tsumu,v,,godan,N3
1765,coffee shop,喫茶店,kissaten,n,place,,N2
1766,magnet,磁石,jishaku,n,,,N1
1767,magnet,マグネット,magunetto,n,,,K
1768,cotton candy,綿あめ,wata ame,n,,,N2
1769,tissue,ティッシュ,tisshu,n,,,K
1770,rice porridge,お粥,okayu,n,food,,N1
1771,bitter,苦い,nigai,adj,,I,N3
1772,storm/tempest,嵐,arashi,n,weather,,N1
1773,power outage,停電,teiden,n,,,N2
1774,jewelry/gem,宝石,hōseki,n,,,N2
1775,move/shift/stir,動かす,udokasu,v,,godan,N4
1776,nail,釘,kugi,n,,,N2
1777,distribute/deliver,配る,kubaru,v,,godan,N3
1778,check someone's temperature,熱を測る,netsu o hakaru,v,,godan,N2
1779,treasure,宝,takara,n,,,N2
1780,solemn,厳粛,genshuku,adj,,NA,N1
1781,ceremony,式,shiki,n,,,N3
1782,real-life experience,実体験,jittaiken,n,,,N3
1783,equality,平等,byōdō,n,,,N3
1784,class,授業,jugyō,n,,,N1
1785,online,オンライン,onrain,n,,,K
1786,cold (illness),風邪,kaze,n,,,N1
1787,quality,品質,hinshitsu,n,,,N4
1788,gate,門,mon,n,,,N2
1789,force/strength,力,chikara,n,,,N4
1790,refreshing/feel better,すっきり,sukkiri,n,,,H
1791,detective/investigator,探偵,tantei,n,job,,N1
1792,action/behavior,行動,kōdō,n,,,N4
1793,suspicious,怪しい,ayashī,adj,,I,N1
1794,instant,インスタント,insutanto,n,,,K
1795,soup,スープ,sūpu,n,food,,K
1796,office,オフィス,ofisu,n,place,,K
1797,diligent/serious,真面目,majime,adj,,NA,N3
1798,hold/have (problems),抱える,kakaeru,v,,ichidan,N3
1799,all one's power/whole energy,全力,zenryoku,n,,,N3
1800,skill,スキル,sukiru,n,,,K
1801,introduction/presentation,紹介,shōkai,n,,,N2
1802,picture book,絵本,ehon,n,,,N3
1803,tablet,タブレット,taburetto,n,technology,,K
1804,improvement (ability),上達,jōtatsu,n,,,N3
1805,increase,増やす,fuyasu,v,,godan,N3
1806,peace of mind/relief,安心,anshin,n,,,N4
1807,save (money),貯める,tameru,v,,ichidan,N2
1808,as it is,そのまま,sonomama,,,,H
1809,copy/photocopy,コピー,kopī,n,,,K
1810,hair (on the head),髪,kami,n,body part,,N3
1811,each,ずつ,zutsu,,,,H
1812,bonus,ボーナス,bōnasu,n,,,K
1813,horizontal/beside/next to,横,yoko,n,direction,,N3
1814,vertical/height,縦,tate,n,direction,,N1
1815,row/line/column,列,retsu,n,,,N3
1816,sandal,サンダル,sandaru,n,clothes,,K
1817,boots,ブーツ,būtsu,n,clothes,,K
1818,Mexico,メキシコ,mekishiko,n,,,K
1819,bracelet,ブレスレット,buresuretto,n,,,K
1820,shoulder bag,ショルダーバッグ,shorudābaggu,n,,,K
1821,mug,マグ,magu,n,,,K
1822,surface,面,men,n,,,K
1823,cap,キャップ,kyappu,n,clothes,,K
1824,polo shirt,ポロシャツ,poroshatsu,n,clothes,,K
1825,size,サイズ,saizu,n,,,K
1826,button,ボタン,botan,n,,,K
1827,short/short pant,ショートパンツ,shōtopantsu,n,clothes,,K
1828,gift card,ギフトカード,gifutokādo,n,,,K
1829,brand,ブランド,burando,n,,,K
1830,review,レビュー,rebyū,n,,,K
1831,coupon,クーポン,kūpon,n,,,K
1832,partner,パートナー,pātonā,n,,,K
1833,belt,ベルト,beruto,n,,,K
1834,handkerchief,ハンカチ,hankachi,n,,,K
1835,pant,ズボン,zubon,n,clothes,,K
1836,revolution,革命,kakumei,n,,,N2
1837,gratitude/appreciation,感謝,kansha,n,,,N1
1838,tatami mat,畳,tatami,n,,,N2
1839,splendid/fine/handsome,立派,rippa,adj,,,N1
1840,Japanese inn/inn,旅館,ryokan,n,,,N4
1841,help/rescue/save,助ける,tasukeru,v,,ichidan,N3
1842,leather,革,kawa,n,material,,N2
1843,be happy/be glad/be delighted,喜ぶ,yorokobu,v,,godan,N3
1844,failure/mistake/blunder,失敗,shippai,n,,,N3
1845,talk about/tell,語る,kataru,v,,godan,N5
1846,involve,巻き込む,makikomu,v,,godan,N2
1847,lighthouse,灯台,tōdai,n,,,N2
1848,sea of clouds,雲海,unkai,n,,,N2
1849,ring,指輪,yubiwa,n,,,N2
1850,exactly/perfectly,ぴったり,pittari,,,,H
1851,surely/certainly,必ず,kanarazu,,,,N3
1852,sashimi,刺身,sashimi,n,food,,N2
1853,take off (clothes),脱ぐ,nugu,v,,godan,N1
1854,mushroom,きのこ,kinoko,n,,,H
1855,coat/tunic/jacket,上着,uwagi,n,clothes,,N4
1856,bill/note/token,札,fuda,n,,,N2
1857,cloud,雲,kumo,n,,,N2
1858,art,芸術,geijutsu,n,,,N2
1859,inviduality/personality,個性,kosei,n,,,N2
1860,appear/become invisible,現れる,arawareru,n,intransitive,ichidan,N3
1861,work (of art),作品,sakuhin,n,,,N4
1862,attendance,出席,shusseki,n,,,N3
1863,include/contain,含む,fukumu,n,,godan,N2
1864,northwest,東北,hokusei,n,direction,,N5
1865,southeast,南東,nantō,n,direction,,N5
1866,northeast,北東,hokutō,n,direction,,N5
1867,southwest,南西,nansei,n,direction,,N5
1868,research institute,研究所,kenkyūjo,n,,,N3
1869,soution,解決,kaiketsu,n,,,N3
1870,literature,文学,bungaku,n,,,N4
1871,Taiwan,台湾,taiwan,n,country,,N2
1872,Italy,イタリア,itaria,n,country,,K
1873,butter,バター,batā,n,food,,K
1874,recipe,レシピ,reshipi,n,,,K
1875,gram,グラム,guramu,n,,,K
1876,grade/result,成績,seiseki,n,,,N2
1877,onion,玉ねぎ,tamenegi,n,vegetable,,N2
1878,stew,シチュー,shichū,n,food,,K
1879,hungry,お腹がすいている,onakagasuiteiru,v,,special,N3
1880,lonely/lonesome,寂しい,sabishī,adj,,I,N1
1881,need,要る,iru,v,,godan,N3
1882,adventure,冒険,bōken,n,,,N1
1883,assistance/aid/help,助け,tasuke,n,,,N3
1884,neighborhood,近所,kinjo,n,,,N4
1885,you/buddy/pal,君,kimi,,,,N3
1886,suit/match,似合う,niau,n,,godan,N3
1887,rice bowl,茶碗,chawan,n,,,N2
1888,flour,小麦粉,komugiko,n,,,N2
1889,anxiety/uneasiness,不安,fuan,n,,,N4
1890,life,命,inochi,n,,,N3
1891,dozen,ダース,dāsu,n,,,K
1892,reach/arrive/get through,届く,todoku,v,,godan,N2
1893,reply/answer,返事,henji,n,,,N3
1894,sound/note,音,oto,n,,,N4
1895,notice/become aware,気づく,kidzuku,v,,godan,N5
1896,talk a lot/talkative,よくしゃべる,yoku shaberu,v,,ichidan,H
1897,dining/dining room,ダイニング,dainingu,n,,,K
1898,drawer,引き出し,hikigashi,n,,,N3
1899,entrance area,玄関,genkan,n,,,N1
1900,husband,旦那さん,danna san,n,family,,N1
1901,furniture,家具,kagu,n,,,N3
1902,handmade,手作り,tedzukuri,n,,,N4
1903,habit,習慣,shūkan,n,,,N3
1904,reality,現実,genjitsu,n,,,N3
1905,candy,アメ,ame,n,,,K
1906,swimming,水泳,suiei,n,,,N3
1907,strict,厳しい,kibishī,adj,,I,N1
1908,sticky,ベタベタ,betabeta,adj,,NA,K
1909,kindergarten,幼稚園,yōchien,n,,,N1
1910,fuss/clamour,大騒ぎ,ōsawagi,n,,,N1
1911,lukewarm,温い,nurui,adj,,I,N2
1912,ad/advertisement,広告,kōkoku,n,,,N3
1913,request/appeal/claim,求める,motomeru,v,,ichidan,N3
1914,feeling unwell,具合が悪い,guai ga warui,,,,N3
1915,neck,首,kubi,n,body part,,N3
1916,oppose/go against/rebel,逆らう,sakarau,v,,godan,N2
1917,fall down/fall over,転ぶ,korobu,v,,godan,N4
1918,hit/strike/knock,打つ,utsu,v,,godan,N3
1919,effort,努力,doryoku,n,,,N3
1920,tank,戦車,sensha,n,vehicle,,N3
1921,wound/cut,傷,kizu,n,,,N1
1922,cause/source/origin,原因,gen'in,n,,,N3
1923,thin,細い,hosoi,adj,,I,N2
1924,pollution,公害,kōgai,n,,,N3
1925,conciousness/awareness,意識,ishiki,n,,,N3
1926,clinic,クリニック,kurinikku,n,,,K
1927,stress,ストレス,sutoresu,n,,,K
1928,curtain,カーテン,kāten,n,,,K
1929,shuttle,シャトル,shatoru,n,,,K
1930,shampoo,シャンプー,shanpū,n,,,K
1931,greain/sweat/cereal,穀物,kokumotsu,n,,,N4
1932,boxing,ボクシング,bokushingu,n,,,K
1933,rice,米,kome,n,,,N3
1934,escape/run away,逃げる,nigeru,v,,ichidan,N3
1935,physical education,体育,taiiku,n,,,N3
1936,art,美術,bijutsu,n,,,N3
1937,absolutely,まったく,mattaku,,,,H
1938,academic study,学問,gakumon,n,,,N4
1939,easy/comfortable,楽,raku,adj,,special,N4
1940,change of clothes,着替え,kigae,n,,,N2
1941,normal/usual,普通,futsū,n,,,N2
1942,tension/nervousness,緊張,kinchō,n,,,N1
1943,haunted house,お化け屋敷,okebayashi,n,,,N1
1944,worst,最悪,saiaku,n,,,N3
1945,app,アプリ,apuri,n,,,K
1946,main,メイン,mein,n,,,K
1947,scene,シーン,shīn,n,,,K
1948,sleep,睡眠,suimin,n,,,N1
1949,disappointment/unfortunate,残念,zannen,n,,,N3
1950,acting/performance,演技,engi,n,,,N2
1951,group,グループ,gurūpu,n,,,K
1952,tough/tight/hard,固い,katai,adj,,I,N2
1953,interest,興味,kyōmi,n,,,N1
1954,ribbon,リボン,ribon,n,,,K
1955,thick (book),厚い,atsui,adj,,I,N2
1956,thin (book),薄い,usui,adj,,I,N2
1957,muscle training,筋トレ,kintore,n,,,N1
1958,greasy/fatty/oily,脂っこい,aburakkoi,adj,,I,N2
1959,fried food,揚げ物,agemono,n,,,N1
1960,daily routine,日課,nikka,n,,,N2
1961,report,報告書,hōkoku-sho,n,,,N3
1962,savings,節約,setsuyaku,n,,,N1
1963,deep motion/impression,感動,kandō,n,,,N3
1964,enemy/opponent/rival,敵,teki,n,,,N1
1965,yogurt,ヨーグルト,yōguruto,n,food,,K
1966,influenza/flu,インフルエンザ,infuruenza,n,,,K
1967,bow,弓,yumi,n,,,N1
1968,cellphone,携帯,keitai,n,,,N1
1969,decrease/reduce,減らす,herasu,v,,godan,N2
1970,midnight,夜中,yonaka,n,,,N4
1971,commute/go back and forth,通う,kayou,v,,godan,N4
1972,like/be pleased with,気に入る,kiniiru,v,,godan,N5
1973,be wet,濡れる,nureru,v,intransitive,ichidan,N1
1974,rise/stand up,立ち上がる,tachiagaru,v,,godan,N4
1975,chat/talk/chatter,喋る,shaberu,v,,ichidan,N1
1976,communication/contact,連絡,renraku,n,,,N2
1977,parents' home,実家,jikka,n,,,N3
1978,make dirty/pollute/soil,汚す,yogosu,v,,,N2
1979,permission/approval,許可,kyoka,n,,,N2
1980,drum,太鼓,taiko,n,,,N1
1981,back/waist,腰,koshi,n,body part,,N2
1982,desire/wish,望む,nozomu,v,,godan,N3
1983,leave (behind),残す,nokosu,v,transitive,godan,N3
1984,leave/go away/depart,去る,saru,v,,godan,N4
1985,greeting/salutation,挨拶,aisatsu,n,,,N1
1986,capital/metropolis,都,miyako,n,,,N3
1987,rigidity/stiff,硬直,kōchoku,n,,,N2
1988,hospitalization,入院,nyūin,n,,,N4
1989,visit (someone)/ask after,見舞う,mimau,v,,godan,N3
1990,dry,乾く,kawaku,v,,godan,N2
1991,thirsty/be thirsty,渇く,kawaku,v,,godan,N1
1992,think of/come up with (idea),思いつく,omoitsuku,v,,godan,N4
1993,review/evaluate,見直す,minaosu,v,,godan,N3
1994,take back/regain,取り返す,torikaesu,v,,godan,N3
1995,idea,アイデア,aidea,n,,,K
1996,receive,受け取る,uketoru,v,,godan,N3
1997,lose,失う,ushinau,v,,godan,N3
1998,lyric,歌詞,kashi,n,,,N2
1999,melody,メロディー,merodī,n,,,K
2000,classic,クラシック,kurashikku,n,,,K
2001,tap,タップ,tappu,n,,,K
2002,value/worth,価値,kachi,n,,,N1
2003,patrol car,パトカー,patokā,n,vehicle,,K
2004,siren,サイレン,sairen,n,,,K
2005,business trip,出張,shutchō,n,,,N1
2006,development,開発,kaihatsu,n,,,N4
2007,planning/project/plan,企画,kikaku,n,,,N1
2008,hold (in a hand)/possess,持つ,motsu,v,,godan,N4
2009,shaved ice,かき氷,kakigōri,n,,,N2
2010,change clothes,着替える,kigaeru,v,,ichidan,N2
2011,Western food,洋食,yōshoku,n,,,N4
2012,treat/paying for someone,おごり,ogori,n,,,H
2013,sweat,汗,ase,n,,,N2
2014,friend/pal,友人,yūjin,n,,,N5
2015,lemon,レモン,remon,n,fruit,,K
2016,surfing,サーフィン,sāfin,n,sport,,K
2017,straw,ストロー,sutorō,n,,,K
2018,omelet rice,オムライス,omuraisu,n,food,,K
2019,family restaurant,ファミレス,famiresu,n,,,K
2020,sausage,ソーセージ,sōsēji,n,,,K
2021,mayonaise,マヨネーズ,mayonēzu,n,,,K
2022,limosine,リムジン,rimujin,n,vehicle,,K
2023,carpet,カーペット,kāpetto,n,,,K
2024,decoration,デコレーション,dekorēshon,n,,,K
2025,cucumber,胡瓜,kyūri,n,fruit,,N1
2026,cucumber,キュウリ,kyūri,n,fruit,,K
2027,melty/creamy texture,とろとろ,torotoro,adj,,NA,H
2028,half,半分,hanbun,n,,,N4
2029,venue/meeting place,会場,kaijō,n,,,N4
2030,terrible/awful,ひどい,hidoi,adj,,I,H
2031,kitten,子猫,koneko,n,animal,,N3
2032,pickup/gather/find,拾う,hirou,v,,godan,N2
2033,attitude/manner/behaviour,態度,taido,n,,,N1
2034,shy/embarrassing,恥ずかしい,hazukashī,adj,,I,N3
2035,cool,冷ます,samasu,v,,godan,N3
2036,forgive/pardon,許す,yurusu,v,,godan,N3
2037,skillful/successful/well,上手い,umai,adj,,I,N4
2038,ask/inquire,尋ねる,tazuneru,v,transitive,ichidan,N1
2039,partner/companion,相手,aite,n,,,N3
2040,consent/agreement,納得,nattoku,n,,,N1
2041,regret,後悔,kōkai,n,,,N1
2042,monopoly,モノポリ,monopori,n,,,K
2043,conclusion/ending,結末,ketsumatsu,n,,,N1
2044,radar,レーダー,rēdā,n,,,K
2045,reality/truth,実,jitsu,n,,,N3
2046,secret/mystery,秘密,himitsu,n,,,N1
2047,circumstance,事情,jijō,n,,,N3
2048,honesty,正直,shōjiki,n,,,N3
2049,cupboard/locker,戸棚,tonada,n,,,N1
2050,unpleasant/gross/don't want to,嫌,iya,adj,,NA,N1
2051,past,過去,kako,n,,,N3
2052,accept,受け入れる,ukeireru,v,,ichidan,N3
2053,fact,事実,jijitsu,n,,,N3
2054,smile,微笑み,hohoemi,n,,,N1
2055,float,浮く,uku,v,,godan,N3
2056,express (emotion),浮かべる,ukaberu,v,,ichidan,N3
2057,intentionally/on purpose,わざと,wazato,,,,H
2058,finish/end/be completed,済む,sumu,v,,godan,N3
2059,eat,召し上がる,meshiagaru,v,honorific,ichidan,N2
2060,say,おっしゃる,ossharu,v,honorific,godan,H
2061,go/come,いらっしゃる,irassharu,v,honorific,godan,H
2062,subject/matter,件,ken,n,,,N3
2063,say,申す,mōsu,v,humble,godan,N3
2064,ask/inquire/hear/go/come,伺う,ukagau,v,humble,godan,N2
2065,go,参る,mairu,v,humble,godan,N2
2066,take a look/see,拝見する,haiken suru,v,humble,special,N2
2067,give/offer,差し上げる,sashiageru,v,humble,ichidan,N3
2068,do,いたす,itasu,v,humble,godan,H
2069,do,なさる,nasaru,v,honorific,godan,H
2070,meet,お目にかかる,omenikakaru,v,humble,godan,N4
2071,receive,いただく,itadaku,v,humble,godan,H
2072,today,本日,honjitsu,n,,,N5
2073,sugar,砂糖,satō,n,,,N1
2074,miracle,奇跡,kiseki,n,,,N1
2075,catch (living things),捕る,toru,v,,godan,N3
2076,dinner/evening meal,夕飯,yūhan,n,,,N4
2077,telephone bill,電話代,denwadai,n,,,N4
2078,meeting,打ち合わせ,uchiawase,n,,,N3
2079,influence/impact/effect,影響,eikyō,n,,,N1
2080,provide/afford/offer,与える,ataeru,n,,,N3
2081,inform/notify,知らせる,shiraseru,v,,ichidan,N4
2082,relationship/connection,関係,kankei,n,,,N3
2083,request/demand,要望,yōbō,v,,,N3
2084,customer,客,kyaku,n,,,N3
2085,rich/abundant,豊か,yutaka,adj,,NA,N2
2086,simplicity/modesty,質素,shisso,adj,,NA,N1
2087,live,暮らす,kurasu,v,,godan,N3
2088,condition,条件,jōken,n,,,N1
2089,make a mistake,誤る,ayamaru,v,,godan,N3
2090,bell/doorbell,ベル,beru,n,,,K
2091,obtain/procure,手に入れる,teniireru,v,honorific,ichidan,N4
2092,become obtainable,手に入る,teniihairu,v,honorific,godan,N4
2093,alcohol,アルコール,arukōru,n,,,K
2094,addiction,中毒,chūdoku,n,,,N2
2095,alcoholism,アル中,aruchū,n,,,N5
2096,genre,ジャンル,janru,n,,,K
2097,game center,ゲームセンター,gēmusentā,n,,,K
2098,parfait,パフェ,pafe,n,,,K
2099,caramel,カラメル,karameru,n,,,K
2100,bowling,ボウリング,bouringu,n,,,K
2101,programming,プログラミング,puroguramingu,n,,,K
2102,media center,メディアセンター,media sentaa,n,,,K
2103,earring,イヤリング,iyaringu,n,,,K
2104,tower,タワー,tawaa,n,,,K
2105,schedule,スケジュール,sukejuuru,n,,,K
2106,site,サイト,saito,n,,,K
2107,mansion,マンション,manshon,n,,,K
2108,vegetarian,ベジタリアン,bejitarian,n,,,K
2109,healthy,ヘルシー,herushii,n,,,K
2110,chef,シェフ,shefu,n,,,K
2111,Europe,ヨーロッパ,yooroppa,n,country,,K
2112,actress,女優,joyū,n,job,,N3
2113,rooftop,屋上,okujō,n,,,N4
2114,the best/supreme/awesome,最高,saikō,n,,,N3
2115,be crowded,込む,komu,n,,,N3
2116,biology,生物学,seibutsugaku,n,subject,,N4
2117,living thing/organism/creature,生物,seibutsu,n,,,N4
2118,international student,留学生,ryūgakusei,n,,,N3
2119,drama/play/theater,演劇,engeki,n,,,N2
2120,definitely/certainly/by all means,是非,zehi,,,,N1
2121,height,高さ,takasa,n,,,N5
2122,fee/charge,料金,ryōkin,n,,,N4
2123,business card,名刺,meishi,n,,,N2
2124,indeed/certainly/surely,確かに,tashikani,,,,N3
2125,from now on/in the future,今後も,kongomo,,,,N5
2126,want,欲しい,hoshī,adj,,special,N3
2127,want (someone else),欲しがる,hoshigaru,adj,,special,N3
2128,scenery/landscape,風景,fūkei,n,,,N3
2129,news/information/communication,便り,tayori,n,,,N3
2130,recently,ちかごろ,chikagoro,,,,H
2131,content/detail,内容,naiyō,,,,N3
2132,clipping/cut-out,切り抜き,kirinuki,n,,,N3
2133,idol,アイドル,aidoru,n,,,K
2134,god,神,kami,n,,,N3
2135,hardship/trouble,苦労,kurō,n,,,N3
2136,think/feel/consider,存じる,zonijru,v,,ichidan,N3
2137,handle/take charge of,手がける,tegakeru,v,,ichidan,N5
2138,architecture,建築,kenchiku,n,,,N2
2139,last night,昨夜,sakuya,n,time,,N3
2140,recall/remember,思い出す,omoi dasu,v,,godan,N4
2141,genuine,本物,honmono,n,,,N4
2142,text,テキスト,tekisuto,n,,,K
2143,ambassador,大使,taishi,n,,,N4
2144,prediction,予測,yosoku,n,,,N2
2145,bowing (custom),お辞儀,ojigi,n,,,N1
2146,senior (work or school),先輩,senpai,n,,,N1
2147,waiting room,待合室,machiaishitsu,n,,,N3
2148,underwear,下着,shitagi,n,clothes,,N4
2149,evidence,証拠,shōko,n,,,N1
2150,grammar,文法,bunpō,n,,,N3
2151,spice,スパイス,supaisu,n,,,K
2152,lasagna,ラザニア,razania,n,food,,K
2153,pudding,プリン,purin,n,food,,K
2154,article/supply/part,用品,yōhin,n,,,N4
2155,golf,ゴルフ,gofuru,n,sport,,K
2156,stapler,ホッチキス,hotchikisu,n,,,K
2157,calendar,カレンダー,karendā,n,,,K
2158,scan,スキャン,sukyan,n,,,K
2159,raincoat,レインコート,reinkōto,n,,,K
2160,pocket money/allowance,小遣い,kodzukai,n,,,N1
2161,firmly/tightly,しっかり,shikkari,,,,H
2162,license,免許,menkyo,n,,,N1
2163,count,数える,kazoeru,v,,ichidan,N3
2164,disappointment,失望,shitsubō,n,,,N3
2165,school gate,校門,kōmon,n,,,N2
2166,sticky note/tag/label,付箋,fusen,n,,,N1
2167,half/half amount,半額,hangaku,n,,,N2
2168,stationery,文房具,bunbōgu,n,,,N1
2169,table tennis,卓球,takkyū,n,sport,,N1
2170,gasoline,ガソリン ,gasorin,n,,,K
2171,give up,諦める,akirameru,v,,ichidan,N1
2172,natto (fermented soybean),納豆,nattō,n,,,N1
2173,withdraw,引き出す,hikidasu,v,,godan,N3
2174,gloves,手袋,tebukuro,n,clothes,,N2
2175,annoucer,アナウンサー,anaunsā,n,,,K
2176,necktie,ネクタイ,nekutai,n,clothes,,K
2177,corner,片隅 ,katasumi,n,,,N2
2178,surprise,驚く,odoroku,v,,godan,N1
2179,grandchild,孫,mago,n,family,,N2
2180,mirror,鏡,kagami,n,,,N1
2181,futon,布団,futon,n,,,N2
2182,high class/high grade,高級,kōkyū,adj,,NA,N1
2183,boredom/tedium,退屈,taikutsu,n,,,N1
2184,weekday,平日,heijitsu,n,,,N3
2185,cleanliness/neat,清潔,seiketsu,n,,,N1
2186,instruction,指示,shiji,n,,,N3
2187,mere,単なる,tan'naru,,,,N3
2188,misunderstanding,誤解,gokai,n,,,N3
2189,static electricity,静電気,seidenki,n,,,N3
2190,mud/slush,泥,doro,n,,,N2
2191,safe/peace,無事,buji,adj,,NA,N2
2192,traffic,交通,kōtsū,n,,,N3
2193,approach,迫る,semaru,v,,godan,N1
2194,by chance/unexpectedly,偶然,gūzen,,,,N3
2195,envelope,封筒,fūtō,n,,,N2
2196,wear (hat),被る,kaburu,v,,godan,N2
2197,at home,在宅,zaitaku,n,,,N3
2198,master/husband,主人,shujin,n,family,,N4
2199,comfortable,心地よい,kokochiyoi,adj,,,N4
2200,resemble/take after,似る,niru,v,,ichidan,N3
2201,resign/quit,辞める,yameru,v,,ichidan,N3
2202,the week after next,再来週,saraishū,n,time,,N2
2203,grandson,孫息子,mago musuko,n,family,,N2
2204,granddaughter,孫娘,mago musume,n,family,,N2
2205,along,沿い,soi,,,,N1
2206,run along/run beside,沿う,sou,v,,godan,N1
2207,daytime,昼間,hiruma,n,time,,N4
2208,weak,弱い,yowai,adj,,I,N2
2209,lunchbox/bento,弁当,bentō,n,food,,N1
2210,hair (head),髪の毛,kaminoke,n,body part,,N2
2211,cloth,布,nuno,n,,,N2
2212,refuse,断る,kotowaru,v,,godan,N3
2213,black tea,紅茶,kōcha,n,drink,,N2
2214,treasure,宝物,takaramono,n,,,N2
2215,habitual/usual/ordinary,普段,fudan,n,,,N2
2216,honour,光栄,kōei,n,,,N2
2217,behind time/lateness,遅刻,chikoku,n,,,N3
2218,the year before last,一昨年,ototoshi,,time,,N3
2219,every month,毎月,maitsuki,,time,,N5
2220,bag,鞄,kaban,n,,,N1
2221,other,他,hoka,,,,N3
2222,forge/train/discipline,鍛える,kitaeru,v,,ichidan,N1
2223,meaning,意味,imi,n,,,N4
2224,passive,受動形,judōkei,n,,,N3
2225,sentence,文,bun,n,,,N4
2226,parking lot,駐車場,chūshajō,n,,,N2
2227,price/cost,値段,nedan,n,,,N3
2228,round,丸い,marui,adj,,I,N2
2229,large crowd,大勢,taisei,n,,,N2
2230,medical science,医学,igaku,n,,,N4
2231,divorce,離婚,rikon,n,,,N1
2232,pass away,亡くなる,nakunaru,v,,godan,N3
2233,point at/indicate,指す,sasu,v,,godan,N3
2234,lose one's way,迷う,mayou,v,,godan,N3
2235,kareshi,彼氏,kareshi,n,family,,N1
2236,single/unmarried,独身,dokushin,n,,,N1
2237,loose,緩い,yurui,adj,,I,N1
2238,tough/strict,きつい,kitsui,adj,,I,H
2239,preparation,用意,yōi,n,,,N4
2240,resound/resonate,響く,hibiku,v,,godan,N1
2241,deer,鹿,shika,n,animal,,N1
2242,car/automobile,自動車,jidōsha,n,,,N4
2243,ruler,定規,jōgi,n,,,N3
2244,inside the store,店内,ten'nai,n,,,N3
2245,fried chicken,唐揚げ,karaage,n,food,,N1
2246,arrangement,配置,haichi,n,,,N3
2247,idea/plan/thought,案,an,n,,,N1
2248,decision,決意,ketsui,n,,,N3
2249,blouse,ブラウス,burausu,n,clothes,,K
2250,sliding door,戸,to,n,,,N2
2251,police box,交番,kōban,n,,,N3
2252,report,報告,hōkoku,n,,,N3
2253,lose something,無くす,nakusu,v,,,N2
2254,circle,丸,maru,n,,,N2
2255,diamond,ダイヤモンド,daiyamondo,n,,,K
2256,chicken meat,鶏肉,toriniku,n,,,N1
2257,line,線,sen,n,,,N2
2258,tighten/wear/tie,締める,shimeru,v,,ichidan,N1
2259,business suit,背広,sebiru,n,,,N3
2260,yukata,浴衣,yukata,n,clothes,,N2
2261,kimono,着物,kimono,n,clothes,,N4
2262,short sleeves,半袖,hansode,n,clothes,,N2
2263,arrange,整える,totonoeru,v,,ichidan,N1
2264,body type/figure,体型,taikei,n,,,N2
2265,flute,フルート,furūto,n,,,K
2266,long sleeves,長袖,nagasode,n,clothes,,N2
2267,basket,籠,kago,n,,,N1
2268,band bag,バンドバッグ,bando baggu,n,,,K
2269,decoration,飾り,kazari,n,,,N1
2270,height,背,se,n,,,N3
2271,measure,測る,hakaru,v,,,N2
2272,lose weight,痩せる,yaseru,v,,ichidan,N2
2273,occurrence/outbreak,発生,hassei,n,,,N4
2274,area,辺,hen,n,,,N2
2275,script,台本,daihon,n,,,N4
2276,content,中身,nakami,n,,,N2
2277,joker/clownish person,おどけ者,odokesha,n,,,N4
2278,enthusiast/geek,オタク,otaku,n,,,K
2279,registered mail,書留,kakitome,n,,,N3
2280,delivery/distribution,配達,haitatsu,n,,,N3
2281,airmail,航空便,kōkū-bin,n,,,N2
2282,change,変更,henkō,n,,,N3
2283,postcard,葉書,hagaki,n,,,N3
2284,notification,通知,tsūchi,n,,,N4
2285,post/mailbox,ポスト,posuto,n,,,K
2286,surface mail/sea freight,船便,funabin,n,,,N3
2287,deliver,届ける,todokeru,v,,ichidan,N2
2288,parcel/package,小包,kodzutsumi,n,,,N2
2289,package/wrapping,包み,tsutsumi,n,,,N2
2290,going out,外出,gaishutsu,n,,,N5
2291,subject,科目,kamoku,n,,,N3
2292,delivery item,配達物,haitatsumono,n,,,N3
2293,legend/tradition/forklore,伝説,densetsu,n,,,N3
2294,beginner,初心者,shoshinsha,n,,,N3
2295,boss,ボス,bosu,n,,,K
2296,decline,減る,heru,v,,godan,N2
2297,move (house),移る,utsuru,v,,godan,N2
2298,level,レベル,reberu,n,,,K
2299,rock-paper-scissor game,じゃん拳,janken,n,,,N1
2300,rock (RPS item),グー,gū,n,,,K
2301,paper (RPS item),パー,pā,n,,,K
2302,scissor (RPS item),チョキ,choki,n,,,K
2303,maid,メイド,meido,n,,,K
2304,cosplay,コスプレ,kosupure,n,,,K
2305,metro,メトロ,metoro,n,,,K
2306,face on,面する,mensuru,v,,godan,N3
2307,resident,住民,jūmin,n,,,N3
2308,hunger,空腹,kūfuku,n,,,N3
2309,road,道路,dōro,n,,,N3
2310,calm,冷静,reisei,adj,,NA,N3
2311,track and field,陸上,rikujō,n,,,N2
2312,judo,柔道,jūdō,n,,,N2
2313,mechanic,整備士,seibishi,n,,,N1
2314,karate,空手,karate,n,,,N4
2315,wooden hammer,撞木,shumoku,n,,,N1
2316,bronze,銅,dō,n,metal,,N2
2317,choice/option/selection,選択,sentaku,n,,,N3
2318,garnish/side dish,付け合わせ,tsukeawase,n,,,N3
